id	company_review
employee_615	rating: "work harder, not smarter" is the unofficial motto
employee_1199	rating: 10.0
employee_186	rating: 10/10
employee_640	rating: 10/10
employee_405	rating: 10/10, fantastic
employee_1109	rating: 100%, great culture and people, good balance
employee_1150	rating: 12 Federal Paid Holidays, plus 4 weeks PTO (PTO increases as years of service increase ex. 0-2yr, 2.1-4yr...)
employee_1144	rating: 2.0
employee_187	rating: 2.5/5 - High expectations with unclear role responsibilities; terrible management
employee_1038	rating: 2/10. Chronic underpayment. Was experienced salary theft for 7 months (was later remedied). High Turnover. Low moral. Lack of consideration for company wide interpersonal issues.
employee_1151	rating: 2023 and 2024 have been difficult because of the market (many layoffs) but fortunately, I'm still around
employee_1162	rating: 3.0
employee_388	rating: 3.5
employee_572	rating: 3.5/5
employee_821	rating: 3.5/5 fine for a first job. Very competitive and metrics driven. Poor middle management.
employee_822	rating: 3/5
employee_1027	rating: 3/5
employee_256	rating: 3/5
employee_435	rating: 3/5
employee_522	rating: 3/5
employee_1141	rating: 4 Stars - I quite like my job and feel like I'm compensated reasonably, but I'm perma night shift and it's not looking like I'm getting out any time soon. Also intracompany advancement is not looking too great - will probably have to look elsewhere for a promotion.
employee_800	rating: 4.0
employee_245	rating: 4/10 I hate it here
employee_73	rating: 4/5
employee_50	rating: 4/5
employee_850	rating: 4/5
employee_527	rating: 4/5
employee_682	rating: 4/5 - get to wear lots of hats.  make a big impact at smaller biotechs.  if you're hungry you'll get rewarded.
employee_1212	rating: 5 stars
employee_965	rating: 6.0
employee_976	rating: 6.0
employee_326	rating: 6.5/10 - government grant support only results in poor benefits and PTO. Upside is less stress and more scientific freedom
employee_698	rating: 6/10
employee_730	rating: 7.0
employee_583	rating: 8.5/10 while I worked there in terms of the type of regulatory strategy work I did, 5/10 in terms of the people (all older, very few played well with others), 9/10 line manager who was great, 0/10 new CEO since he said no layoffs in the future then literally the next day I got laid off.
employee_1043	rating: 8/10
employee_133	rating: 8/10
employee_701	rating: 9/10 rating. 5 weeks vacation, 12 holidays (+EOY shutdown).
employee_60	rating: 9/10. Great boss and group. flexible office arrangement. flex schedule. good w/l balance
employee_1130	rating: A
employee_469	rating: A lot of work to do and senior leadership vision is not always clear. Use old fashioned methods.
employee_398	rating: A+
employee_109	rating: Acquired from small biotech, three rounds of layoffs in a year to fully dismantle the previous company as a recognizable group of people.  Future uncertain, our current jobs end in a couple months (no defined date).  We are encouraged to find employment within Vertex but that is heavily biased toward people willing to move from San Diego to Boston.  Overall Vertex has treated us with dignity whilst not being shy with the sickle.
employee_804	rating: After recent reorg, it’s making it hard to want to stay in this role
employee_1183	rating: Alright, but very slow for career growth.
employee_1128	rating: Amazing
employee_1216	rating: At an inflection / changeover point (a long one)
employee_856	rating: Awesome company, most transparent management ever, non-toxic environment, and great work life balance.  Don't sacrifice for your company because they can kick you out at any moment.
employee_843	rating: Awesome place to work
employee_67	rating: B
employee_128	rating: B+
employee_520	rating: B-
employee_320	rating: Best company I've found so far. Sometimes faced with extreme deadline pushes and unfair testing asks, but that's on par with any CDMO QC group I've been involved with before. Compensation is kept competitive for this reason.
employee_980	rating: Best place I've ever worked! But I've also only ever worked at places I hated or were doing work i didn't value long-term before, so do with that what you will.
The boss and team are what really make it. The compensation and prospects are really not competitive enough. It's gonna suck when I've exhausted in the in- company avenues and have to leave such a good team to grow in the industry.
employee_589	rating: Big push for fast first in human timelines upper leadership. Rushing things so much has lead to issues. On a more local level, my manager is great at trying to shield us from the stress (not every manager excels at this…)
employee_951	rating: Boutique life sciences firm where most projects are rooted in competitive intelligence and additional strategy projects emerge from portfolio re-organizations and opportunity analyses.
employee_952	rating: Burnt out by year 3, holding on at year 5, maybe wasn't for me?
employee_709	rating: COmpany culture is not great, work-life balance is non-existent
employee_1090	rating: Cell lab department was 3/10, cell and gene therapy department is 9/10
employee_798	rating: Chaotic leadership, bad morale and culture, frustrating job
employee_614	rating: Company could do better especially since it is a big pharma
employee_188	rating: Company has a lot of organizational bottlenecks. Department I am in is treated like a CRO. Gives you freedom to do what you want as long as it is what the TA (therapeutic area) wants. I've had many ideas/strategies shot down, only to magically reappear within the TA. Individuals are typically great to work with and flexible to issues that life throws at you. Lots of resources to learn, grow, and find opportunities. Absolutely ZERO assistance on how to use them. You have to do 100% of everything by yourself or it won't happen. The isolation can get rough. Follow-ups, check-ins, and such are rare or a joke.
employee_1066	rating: Company is good. Culture is good. Struggles of the start up include budget conciousness and office politics. (I don't deal with the politics as much - mostly a management thing)
employee_182	rating: Company is in Cambridge, but fully remote in Tristate area. Company has good culture as we’re still under 100 people and been able to control hiring and expansion
employee_22	rating: Company is very old school, top down. Takes a long time to get things done, but salary and benefits are incredible. I could not find any company around that could match my salary or benefits. The people who I work with have said the same which is why Merck is full of lifers (worked 15-25 years with the company). Company also just moved to giving everyone - regardless of age or years worked - 25 days of vacation a year.
employee_420	rating: Company vision and culture overall positive, but marketing specifically not a great environment. Limited mobility and nepotism
employee_975	rating: Current Company, been there for 2 years, 5/5 Stars, great place even considering the layoffs that occurred this year (that I was lucky enough to survive.)
employee_370	rating: Dead growth feel like it’s a government job
employee_924	rating: Decent
employee_761	rating: Decent work life balance, great amount of PTO and sick time. Sick time can be banked to pay for continued health care after retirement
employee_676	rating: Difficult, but for a CRO corp they're run of the mill. Always protect yourself first, but they haven't burned me seriously yet. We're adding a Manu capacity that I'm key for, and primed to fulfill my life's plans for my specialty all those years ago in youth. 

They've had a layoff recently and are turtling to get more investment as a few big projects reach renewal milestones. If I wasn't doing what I love with financially rewarding opportunity I would relocate elsewhere. Here's to my section being the first revenue pipeline they've ever had. 7/10
employee_145	rating: Disorganized at the institutional level and disagree with hiring/firing practices. Team culture is good.
employee_280	rating: Dogshit CEO that just got replaced
employee_881	rating: Easy Peasy
employee_890	rating: Evonik is OK - reasonably stable company. Pay is good. Has its problems but not necessarily sure if grass would be greener on the other side.
employee_773	rating: Excellent
employee_801	rating: Excellent company to work for in terms of reputation. Very complicated products and stressful job
employee_661	rating: Excellent company, I love it
employee_231	rating: Excellent environment
employee_795	rating: Excellent place to work!
employee_567	rating: Excellent work life balance.
employee_219	rating: Extremely transparent about all facets
employee_1017	rating: Fantastic company. Great benefits, great work life balance.
employee_613	rating: Fast paced and good place to learn a lot of skillsets and techniques
employee_511	rating: Fast-paced for sure, but not toxic.
employee_85	rating: Fine
employee_1200	rating: Generally good
employee_835	rating: Generally underpaid relative to other positions, but great benefits. Good place to learn and develop skills if new to industry.
employee_91	rating: Generous benefits. Pay is great if you work overtime, but mediocre if you don’t. COLA adjustments do NOT come close to making up for CoL in places like CA. 

Things are highly dependent on your how your manager likes and knows you.
employee_1152	rating: Getting worse in R&D unless company can figure out how to outsource lower priority work or increase R&D spend effectively. Entering into the profiteering era, remains to be seen if existing good culture can be sustained.
employee_1106	rating: Giant scrambled mess not worth it
employee_793	rating: Good
employee_162	rating: Good :)
employee_702	rating: Good benefits, decent pay, upward mobility heavily limited. Raises are small and new hires paid more than experienced members if you let them.
employee_385	rating: Good campny with good benefits, competitive swedish salaries, flex time, ca 55 hours of yearly shortening of work time, paid leave for holiday "in-between" days, 25 days vacation.
employee_819	rating: Good company - crazy and dangerously ambitious.  Scary Damn the Torpedos!  Full Speed Ahead philosophy.
